id,production_companies
347096,Arrowstorm Entertainment
308369,Indian Paintbrush
227973,Blue Sky Studios
227973,Twentieth Century Fox Animation
227973,Feigco Entertainment
321741,Village Roadshow Pictures
321741,Scott Free Productions
321741,LStar Capital
321741,The Cantillon Company
321741,The Shuman Company
296100,Sony Pictures
296100,Point Grey Pictures
296100,Good Universe
263472,Universum Film (UFA)
263472,Dragonfly Entertainment
263472,Black Bear Pictures
263472,Square One Entertainment
263472,Sobras International Pictures
228205,Fox 2000 Pictures
228205,Temple Hill Entertainment
159824,Columbia Pictures
159824,Sony Pictures Animation
333348,Imagine Entertainment
333348,Groundswell Productions
333348,CBS Films
285783,TriStar Pictures
285783,Sony Pictures Entertainment
285783,ImageMovers
290764,Temple Hill Entertainment
290764,Senator Film
290764,Freerunning
290764,Melbarken
290764,Saban Films
296099,New Line Cinema
296099,BenderSpink
296099,David Dobkin Productions
243688,Ghost House Pictures
243688,Vertigo Entertainment
243688,Metro-Goldwyn-Mayer (MGM)
243688,TSG Entertainment
287424,Lionsgate
287424,Grindstone Entertainment Group
287424,Silver Reel
287424,Sly Predator
287424,Matt Baer Films
301875,Scott Free Productions
301875,Infinite Frameworks Studios
301875,Freedom Media
301875,Route One Entertainment
181283,Summit Entertainment
181283,Scott Free Productions
181283,Worldview Entertainment
328425,Blumhouse Productions
328425,Blue-Tongue Films
328425,STX Entertainment
328425,Ahimsa Films
274167,Paramount Pictures
274167,Gary Sanchez Productions
274167,Good Universe
274167,Red Granite Pictures
370687,Arrowstorm Entertainment
370687,Camera 40 Productions
370687,Bellpond Films
307663,Grindstone Entertainment Group
307663,K5 International
307663,Emmett/Furla Films
307663,Aperture Entertainment
309809,Onyx Films
309809,Orange Studios
309809,CityMation
309809,On Entertainment
309809,Zippcast Films
258509,Regency Enterprises
258509,Fox 2000 Pictures
258509,Sunswept Entertainment
258509,Bagdasarian Productions
258509,TSG Entertainment
298382,Amazon Studios
298382,Film Art Media
298382,Apollo Media
272693,Wonderland Sound and Vision
272693,CBS Films
272693,Vast Entertainment
283445,Alliance Films
283445,Blumhouse Productions
283445,IM Global
283445,Automatik Entertainment
283445,Entertainment One
256961,Columbia Pictures
256961,Happy Madison Productions
256961,Sony Pictures Releasing
256961,Sony Pictures Home Entertainment
256961,Sony Pictures Entertainment (SPE)
326359,Walt Disney Pictures
326359,Walt Disney Animation Studios
254302,Ingenious Media
254302,HanWay Films
254302,Scope Pictures
254302,Recorded Picture Company (RPC)
254302,Northern Ireland Screen
241251,Universal Pictures
241251,Nuyorican Productions
241251,Blumhouse Productions
241251,Smart Entertainment
292040,BBC Films
292040,Isle of Man Film
292040,Shine Pictures
292040,Kudos Film and Television
292040,Pinewood Pictures
188222,Warner Bros.
188222,Closest to the Hole Productions
252838,Miramax Films
252838,Screen Gems
252838,LStar Capital
273477,Paramount Pictures
273477,Oops Doughnuts Productions
273477,Broken Road Productions
273477,Brucks Entertainment
298312,Blumhouse Productions
298312,Blinding Edge Pictures
261023,Infinitum Nihil
261023,Head Gear Films
261023,Cross Creek Pictures
261023,Free State Pictures
261023,RatPac-Dune Entertainment
336004,Emmett/Furla Films
336004,Silver Plane Films
336004,Mass Hysteria Entertainment
336004,Tri Vision Pictures
287903,Universal Pictures
287903,Legendary Pictures
182560,Denver and Delilah Productions
182560,Mandalay Vision
182560,Exclusive Media Group
182560,Hugo Productions
182560,Cuatro Plus Films
192141,Bold Films
192141,Living Films
192141,Brothers Dowdle Productions
308639,Forest Whitaker's Significant Productions
308639,Revolt Films
308639,IamOTHER Entertainment
261392,Concorde Filmverleih
261392,Likely Story
261392,FilmNation Entertainment
261392,Circle of Confusion
261392,The Bridge Finance Company
304357,BBC Films
304357,Origin Pictures
297291,Universal Pictures
266294,Little Stranger
227719,Paramount Pictures
227719,MTV Films
227719,Platinum Dunes
227719,Insurge Pictures
86828,Premiere Picture
86828,Bill and Ben Productions
86828,GFM films
287948,EuropaCorp
201085,Legendary Pictures
277355,Crime Scene Pictures
277355,Radius-TWC
277355,Anonymous Content
277355,"Vega, Baby!"
264999,Warner Bros.
264999,Iron Horse Entertainment (II)
146301,Paramount Pictures
146301,Blumhouse Productions
223485,The New Zealand Film Commission
223485,Film4
223485,See Saw Films
223485,DMC Films
294016,Groundswell Productions
294016,Inimitable Pictures
294016,ShivHans Pictures
290751,Ingenious Media
290751,Gran Via Productions
290751,IM Global
290751,Route One Films
309245,RT Features
228165,Paramount Pictures
228165,Nickelodeon Movies
228165,Nickelodeon Animation Studios
228165,United Plankton Pictures
228165,Disruption Entertainment
245706,Plan B Entertainment
245706,Regency Enterprises
245706,New Regency Pictures
272878,Sunswept Entertainment
272878,Warner Bros.
272878,Metro-Goldwyn-Mayer (MGM)
263109,Aardman Animations
263109,Studio Canal
263109,Anton Capital Entertainment (ACE)
157827,Motlys
157827,Arte France Cinéma
321751,Reposado Producciones
321751,Televisión Española (TVE)
266396,StudioCanal
266396,Silver Pictures
266396,TF1 Films Production
266396,Canal+
266396,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)
277685,Bazelevs Production
277685,Blumhouse Productions
268920,New Line Cinema
268920,Warner Bros.
268920,Metro-Goldwyn-Mayer (MGM)
268920,Pacific Standard
280092,Sony Pictures
193687,Palomar Pictures
193687,Lucky Hat Entertainment
193687,Silver Reel
193687,Material Pictures
193687,Zik Zak Kvikmyndir
300803,Raffaella Productions
328589,BBC Films
328589,TriStar Productions
228066,Twentieth Century Fox Film Corporation
228066,Davis Entertainment
228066,Moving Picture Company (MPC)
228066,TSG Entertainment
378373,Terra Mater Factual Studios
291270,Starburns Industries
294963,Caliber Media Company
294963,The Fyzz Facility
294963,Realbuilder Productions
241257,The Weinstein Company
241257,Himenóptero
245698,Material Pictures
245698,MICA Entertainment
245698,PalmStar Media
245698,Gail Katz Productions
353326,Animus Films
353326,Edward R. Pressman Film
353326,Kreo Films FZ
353326,Xeitgeist Entertainment Group
353326,American Entertainment Investors
346808,Thaba Media
346808,Azari Media
250124,Caviar Films
250124,Cold Iron Pictures
250124,Archer Gray
290637,Voltage Films
290637,Midnight Kitchen Productions
244458,Studio Babelsberg
244458,Mandalay Vision
244458,1984 Private Defense Contractors
308504,Czech Anglo Productions
308504,Luka Productions
314405,HanWay Films
314405,Rai Cinema
314405,Le Pacte
314405,Fonds Eurimages du Conseil de l'Europe
314405,Recorded Picture Company (RPC)
282984,Sony Pictures
282984,Gravier Productions
157843,Benaroya Pictures
157843,H Films
157843,Raslan Company of America
275601,Columbia TriStar
275601,Clinica Estetico
275601,LStar Capital
290762,S Films
290762,New Sparta Films
251516,Laser Unicorns
304372,Screen Gems
324807,StudioCanal
324807,Ministero per i Beni e le Attività Culturali (MiBAC)
252512,Scott Rudin Productions
252512,A24
257091,Gary Sanchez Productions
257091,Warner Bros.
228968,Umedia
228968,Informant Europe SPRL
228968,European Film Company
347969,Happy Madison Productions
237756,Parabolic Pictures
237756,Stable Way Entertainment
237756,Cargo Films
237756,Media House Capital
293646,Alcon Entertainment
293646,Phoenix Pictures
293646,Fabula
293646,Half Circle
245168,Ruby Films
245168,Pathé
311291,The Bureau
301351,Working Title Films
248574,A24
225728,Studio Canal
225728,See-Saw Films
225728,Creative Scotland
225728,Film4
225728,Anton Capital Entertainment (ACE)
326425,Emmett/Furla Films
326425,Oasis Films
326425,Aperture Entertainment
326425,Twirly Films Limited
342474,MM Productions
342474,Merced Media Partners
342474,PalmStar Media
277217,Walt Disney Television
207936,Echo Films
207936,Bron Studios
207936,Hahnscape
250734,Fox Searchlight Pictures
250734,DNA Films
250734,BBC Films
249688,A24
268238,Participant Media
268238,Fox Searchlight
268238,Blueprint Pictures
256962,Metanoia Films
322456,Warner Bros. Animation
302528,Serendipity Point Films
302528,Egoli Tossell Film AG
222936,Columbia Pictures
222936,Vinyl Films
222936,Regency Enterprises
222936,Sony Pictures Entertainment (SPE)
222936,RatPac Entertainment
316002,K. JAM Media
365806,343 Industries
365806,The Sequence Group
10317,Participant Media
10317,Smokehouse Pictures
334538,Rhombus Media
334538,Bron Studios
306947,Pandastorm Pictures
328901,KSM
382517,Sony Pictures Animation
310133,Park Pictures
310133,Audax Films
310133,Dark Arts Film
310133,End Cue
237584,Atlas Independent
237584,Henceforth Pictures
237584,Highland Film Group
237584,MICA Entertainment
288036,Sidney Kimmel Entertainment
288036,Gary Sanchez Productions
288036,IM Global
354110,Minds Eye Entertainment
354110,Panacea Entertainment
354110,Moving Pictures Media
331781,On The Corner Films
331781,Universal Music
253161,A Company Filmproduktionsgesellschaft
253161,Aleph Motion Pictures
253161,Aden Film
312831,Prescience
312831,Bord Scannan na hEireann / Irish Film Board
312831,Fantastic Films
312831,Altitude Film Entertainment
312831,Occupant Entertainment
316322,Mattel Playground Productions
301846,Starchild Pictures
306745,Double Feature Films
306745,Endgame Entertainment
306745,High Frequency Entertainment
332340,Big Talk Productions
332340,StudioCanal
292431,Wild Bunch
292431,Les Cinémas de la Zone
300693,Echo Lake Entertainment
300693,RatPac Entertainment
300693,Mythology Entertainment (II)
333381,Voltage Pictures
333381,Arrow Films
333381,Boo Pictures
256924,Big Indie Pictures
256924,ShivHans Pictures
253414,Shangri-La Entertainment
253414,QED International
253414,Dune Films
253414,Venture Forth
254172,Andrea Leone Films
254172,Fear of God Films
254172,Busted Shark Productions
320588,Red Crown Productions
320588,Haven Entertainment
157544,Lakeshore Entertainment
157544,Lionsgate
157544,H2F Entertainment
157544,Pantelion Films
283235,Imagenation Abu Dhabi FZ
283235,Hyde Park Entertainment
283235,Broad Green Pictures
283235,Noruz Films
243938,Paramount Pictures
243938,Metro-Goldwyn-Mayer (MGM)
86835,Waypoint Entertainment
86835,Dogwood Films
254905,Worldview Entertainment
309242,Electric City Entertainment
309242,Sycamore Pictures
309242,Gowanus Projections
332502,New Artists Alliance
286192,Pixar Animation Studios
284674,Automatik Entertainment
284674,Circle of Confusion
284674,Skybound Entertainment
360055,Mainstay Productions
352179,Eclectic pictures
352179,AMBI Group
246127,Neue Road Movies
246127,Film i Väst
338676,Vaca Films
338676,La Ferme! Productions
338676,Laokoon Filmgroup
338676,Ombra Films
338676,Telefónica Studios
330982,Hepp Film
330982,Bow and Arrow Entertainment
330982,FilmTeam
330982,Bron Capital Partners
232572,Wildwood Enterprises
232572,Route One Films
112454,Zed Filmworks
112454,Cross Creek Pictures
112454,Vertebra Films
112454,PS 260
243940,Lionsgate
243940,Blumhouse Productions
243940,Chapter One Films
321528,Warner Bros. Animation
321528,DC Entertainment
317744,Hyde Park Entertainment
317744,Troika Pictures
317744,Amasia Entertainment
317744,Merced Media Partners
317744,Roberi Media
300792,NO_DATA
239573,Studio Babelsberg
239573,Regency Enterprises
239573,Escape Artists
239573,New Regency Pictures
167810,Bold Films
167810,Marc Platt Productions
167810,Phantasma
319075,HBO Documentary Films
319075,Public Road Productions
316042,Rhombus Media
316042,International Traders
316042,Buffalo Gal Pictures
316042,Whizbang Films
316042,Triple 7 Films
334527,NeeNee Productions
334527,Capacity Pictures
334527,May Day Movies
300153,See-Saw Films
228203,Walt Disney Pictures
228203,Mayhem Pictures
332704,Head Gear Films
332704,Screen Australia
332704,Metrol Technology
332704,Bankside Films
278236,Original Pictures
278236,Head Gear Films
278236,Minnow Films
276839,Darko Entertainment
276839,Passcode Entertainment
276839,Donnybrook4 Productions
326215,Skyline Entertainment
326215,Moetion Films
326215,Ulysses Filmproduktion
326215,Fabrique d'images
363689,Lighthouse Pictures
363689,Sapphire Fire Limited
318256,Two to Tangle Productions
299245,New Line Cinema
299245,Blumhouse Productions
299245,Management 360
299245,Tremendum Pictures
333344,Horsethief Pictures
357096,Cinetel Films
309299,FJ Productions
309299,BB Film Productions
314385,Plan B Entertainment
314385,Jolie Pas
314385,Pellikola
333596,Sony Pictures
361042,Sonar Entertainment
353686,Blumhouse Productions
353686,Chapter One Films
318954,Burns Family Studios
289191,Zentropa Entertainments
324333,Patriot Pictures
252164,Isle of Man Film
252164,Bigscope Films
252164,Pinewood Pictures
360784,Primal Pictures
360784,Warner Bros.
336313,Freestyle Releasing
336313,ShadowMachine Films
240483,British Film Institute (BFI)
240483,Northern Ireland Screen
240483,Pinewood Studios
240483,British Film Company
240483,Tempo Productions Limited
321494,Living Films
321494,Arcade Pictures
321494,Iron Fists
353595,Warner Bros. Animation
360603,NO_DATA
264337,Brookwell-McNamara Entertainment
264337,Pantelion Film
264337,Televisa
264337,Circle of Confusion
289716,Myriad Pictures
289716,Dreambridge Films
289716,Bifrost Pictures
296065,Skyra Entertainment
337029,Eclectic pictures
337029,Summerstorm Entertainment
337029,Bad Badger
317952,The Documentary Group
317952,Our Time Projects
325358,The Safran Company
325358,3 in the Box
272548,Nexus Factory
272548,Partizan Films
272548,Potemkin Productions
340275,40 Acres & A Mule Filmworks
340275,Amazon Studios
309887,Sense and Sensibility Ventures
